Dia,Mes,Ano,Departamento,Municipio,Lugar de Ocurrencia,Hecho Simultaneos,Tipo de Arma,Tipo de Implicado (2),No Victimas Fatales,Combatientes,Poblacion Civil,Lesionado,Fuente,
22,2,2000,Antioquia,San Carlos,Cabecera Municipal,Lesionado,,Guerrilla-ELN,,,,1,Noche y Niebla # 15 Febrero Pp. 41,
3,3,2000,Cauca,Argelia,Cabecera Municipal,Bienes Civiles,Fusiles y Cilindro Bomba,Guerrilla-FARC,,,,,Noche y Niebla # 15 Marzo Pp. 142,
7,3,2000,Cauca,Patia (El Bordo),Cabecera Municipal,Bienes Civiles y Pillaje,"Fusiles, Rockets y Cilindros de Gas",Guerrilla-FARC,,,,,Noche y Niebla # 15 Marzo Pp. 146,
20,3,2000,Tolima,Alpujarra,Cabecera Municipal,Bienes Civiles,,Guerrilla-FARC,,,,,Noche y Niebla # 15 Marzo Pp. 170,
25,3,2000,Cauca,Florencia,Cabecera Municipal,,,Guerrilla-ELN,,,,,Noche y Niebla # 15 Marzo Pp. 177,
25,3,2000,Choco,Bojaya,Cabecera Municipal,Bienes Civiles y Pillaje,Fusiles y Artefactos Explosivos,Guerrilla-FARC,,,,,Noche y Niebla # 15 Marzo Pp. 178,
31,3,2000,Valle del Cauca,Jamundi,Cabecera Municipal,Bienes Civiles y Lesionado,,Guerrilla No Identificada,,,,2,Noche y Niebla # 15 Marzo Pp. 187,
5,4,2000,Valle del Cauca,Tulua,IP Barragan,,,Guerrilla-FARC y Jaime Bateman Cayon,,,,,Noche y Niebla # 16 Abril Pp. 57,
16,4,2000,Boyaca,Gameza,Cabecera Municipal,Bienes Civiles,,Guerrilla-FARC y ELN,,,,,Noche y Niebla # 16 Abril Pp. 78,
29,4,2000,Santander,Concepcion,Cabecera Municipal,,,Guerrilla-FARC,,,,,Noche y Niebla # 16 Abril Pp. 92,
11,5,2000,Cauca,Rosas,Cabecera Municipal,,,Guerrilla-FARC y ELN,,,,,Noche y Niebla # 16 Mayo Pp. 112,
16,5,2000,Tolima,Planadas,Cabecera Municipal,,,Guerrilla-FARC,,,,,Noche y Niebla # 16 Mayo Pp. 123,
28,5,2000,Narino,La Cruz,Cabecera Municipal,Bienes Civiles,Fusiles y Cilindro Bomba,Guerrilla-FARC,2,2,,,Noche y Niebla # 16 Mayo Pp. 144,
30,5,2000,La Guajira,Urumita,Cabecera Municipal,Bienes Civiles,Granadas ,Guerrilla-FARC,,,,,Noche y Niebla # 16 Mayo Pp. 147,
3,6,2000,Huila,Oporapa,Cabecera Municipal,Lesionado,,Guerrilla-FARC,1,1,,2,Noche y Niebla # 16 Junio Pp. 158,
