Dia,Mes,Ano,Departamento,Municipio,Lugar de Ocurrencia,Hecho Simultaneos,Tipo de Arma,Tipo de Implicado (2),No Victimas Fatales,Combatientes,Poblacion Civil,Lesionado,Fuente,
2,9,2001,Huila,Acevedo,IP San Adolfo,Bienes Civiles,"Fusiles, Morteros, Artefactos Explosivos y Cilindro Bomba",Guerrilla-FARC,4,4,,,Noche y Niebla # 21 Pp. 158,
5,9,2001,Cundinamarca,San Juan de Rioseco,Cabecera Municipal,Bienes Civiles y Lesionado,Fusiles y Artefactos Explosivos,Guerrilla-FARC,5,5,,1,Noche y Niebla # 21 Pp. 162-163,
8,9,2001,Boyaca,Socha,Cabecera Municipal,Bienes Civiles y Lesionado,Fusiles y Cilindro Bomba,Guerrilla-FARC,,,,1,Noche y Niebla # 21 Pp. 169,
25,9,2001,Caqueta,El Doncello,Cabecera Municipal,Bienes Civiles,Cilindros Bomba,Guerrilla-FARC,,,,,Noche y Niebla # 21 Pp. 198,
28,9,2001,Cauca,Almaguer,Cabecera Municipal,Bienes Civiles y Lesionado,Cilindros Bomba,Guerrilla-FARC y ELN,1,1, ,2,Noche y Niebla # 21 Pp. 203,
28,9,2001,Cauca,Bolivar,Cabecera Municipal,Bienes Civiles,Cilindros Bomba,Guerrilla-FARC y ELN,,,,,Noche y Niebla # 21 Pp. 203,
10,10,2001,Valle del Cauca,Florida,Cabecera Municipal,Bienes Civiles,Fusiles y Cilindro Bomba,Guerrilla-FARC,,,,,Noche y Niebla # 22 Pp. 12,
17,10,2001,Tolima,Ibague,IP San Bernardo,Bienes Civiles,"Fusiles, Granadas y Cilindro Bomba",Guerrilla-FARC,3,3,,1,Noche y Niebla # 22 Pp. 22,
20,10,2001,Tolima,Santa Isabel,Cabecera Municipal,Pillaje,,Guerrilla-FARC,,,,,Noche y Niebla # 22 Pp. 25,
25,10,2001,Quindio,Pijao,Cabecera Municipal,"Bienes Civiles, Pillaje y Lesionado",,Guerrilla-FARC,,,,10,Noche y Niebla # 22 Pp. 35,
25,11,2001,Caqueta,Morelia,Cabecera Municipal,Bienes Civiles,Fusiles y Granadas,Guerrilla-FARC,,,,,Noche y Niebla # 22 Pp. 72,
12,12,2001,Cauca,Inza,Cabecera Municipal,Bienes Civiles,Rockets y Cilindros Bomba,Guerrilla-FARC,3,3,,,Noche y Niebla # 22 Pp. 90,
18,3,2001,Norte de Santander,Sardinata,IP Las Mercedes,Bienes Civiles y Lesionado,,Guerrilla-FARC,,,,,Banco de Datos de Derechos Humanos y Violencia Politica del CINEP,
11,2,2001,Huila,Palestina,Cabecera Municipal,Lesionado,Fusiles,Guerrilla-FARC,3,1,2,, Noche y Niebla # 19 Pp. 105,
16,3,2001,Narino,Olaya Herrera,Bocas de Satinga,Bienes Civiles y Lesionado,Cilindro Bomba,Guerrilla-FARC,3,,3,1,Noche y Niebla # 19 Pp. 174,
4,4,2001,Tolima,Ataco,Cabecera Municipal,Bienes Civiles y Lesionado,Cilindro Bomba,Guerrilla-FARC,2,1,1,, Noche y Niebla # 20 Pp. 44,
15,4,2001,Antioquia,Taraza,Corregimiento La Caucana,"Bienes Civiles, Pillaje y Lesionado","Arma de Fuego, Granada, Cilindros Bomba",Grupos Paramilitares-FARC,20,1,19,, Noche y Niebla # 20 Pp. 62,
11,8,2001,Tolima,Anzoategui,Cabecera Municipal,Bienes Civiles y Lesionado,Cilindro Bomba,Guerrilla-FARC,3,2,1,,Noche y Niebla # 21 Pp. 108,
11,8,2001,Tolima,Santa Isabel,Cabecera Municipal,Bienes Civiles y Pillaje,,Guerrilla-FARC,,,,,Noche y Niebla # 21 Pp. 109,
25,8,2001,Huila,Santa Maria,Cabecera Municipal,Bienes Civiles y Lesionado,Cilindro Bomba,Guerrilla-FARC,1,,1,,Noche y Niebla # 21 Pp. 137,
11,9,2001,Arauca,Tame,Cabecera Municipal,Lesionado,,Guerrilla-FARC,5,3,2,, Noche y Niebla # 21 Pp. 173,
28,9,2001,Huila,Acevedo,Cabecera Municipal,Pillaje y Lesionado,Fusiles,Guerrilla-FARC,3,2,1,3,Noche y Niebla # 21 Pp. 204,
8,10,2001,Narino,Alban,Cabecera Municipal,Bienes Civiles y Lesionado,"Arma de Fuego, Cilindros Bomba, Morteros y Granadas",Guerrilla-FARC y ELN,4,2,2,,Noche y Niebla # 22 Pp. 8,
16,11,2001,Cauca,Bolivar,Cabecera Municipal,Bienes Civiles y Lesionado,,Guerrilla-FARC,1,,1,,Noche y Niebla # 22 Pp. 61,
2,12,2001,Caldas,Riosucio,Corregimiento San Lorenzo,"Bienes Civiles, Pillaje y Lesionado",,Guerrilla-FARC,1,,1,,Noche y Niebla # 22 Pp. 79,
2,12,2001,Antioquia,El Bagre,Corregimiento Puerto Claver,"Bienes Civiles, Pillaje y Asesinato Selectivo",,Guerrilla-FARC y ELN,1,,1,,Noche y Niebla # 22 Pp. 80,
10,12,2001,Antioquia,Sonson,Cabecera Municipal,"Bienes Civiles, Secuestro y Masacre",,Guerrilla-FARC,,,,,Noche y Niebla # 22 Pp. 87,
31,12,2001,Cauca,Purace,Cabecera Municipal,"Bienes Civiles, Lesionado y Asesinato Selectivo",,Guerrilla-FARC,1,,1,5,Noche y Niebla # 22  Pp. 104,
25,1,2002,Tolima,Murillo,Cabecera Municipal,Bienes Civiles y Lesionado,,Guerrilla-FARC,,,,2,Noche y Niebla # 23 Pp. 37,
27,1,2002,Caqueta,El Paujil,Cabecera Municipal,Bienes Civiles,Granadas y Cilindros Bomba,Guerrilla-FARC,,,,,Noche y Niebla # 23 Pp. 40-41,
22,2,2002,Huila,Suaza,Cabecera Municipal,Bienes Civiles,,Guerrilla-FARC,,,,,Noche y Niebla # 23 Pp. 74,
17,3,2002,Caqueta,El Doncello,Cabecera Municipal,Dano a Bienes Civiles,Fusiles y Rockets,Guerrilla-FARC,,,,,Noche y Niebla # 23 Pp. 109,
23,3,2002,Arauca,Saravena,Cabecera Municipal,Dano a Bienes Civiles y Lesionado,Cilindro Bomba,Guerrilla-FARC,,,,1,Noche y Niebla # 23 Pp. 118,
15,4,2002,Cauca,Purace,Cabecera Municipal,Bienes Civiles y Lesionado,,Guerrilla-FARC,,,,1,Noche y Niebla # 24 Pp. 22,
15,4,2002,Narino,Colon (Genova),Cabecera Municipal,Bienes Civiles,Cilindros Bomba,Guerrilla-FARC,1,1,,,Noche y Niebla # 24 Pp. 23,
23,4,2002,Caqueta,El Paujil,Cabecera Municipal,Bienes Civiles,Cilindros Bomba,Guerrilla-FARC,,,,,Noche y Niebla # 24 Pp. 37,
3,5,2002,Tolima,Rovira,Cabecera Municipal,Bienes Civiles y Lesionado,,Guerrilla-FARC,2,2,,2,Noche y Niebla # 24 Pp. 49,
15,5,2002,Antioquia,Cocorna,Cabecera Municipal,Bienes Civiles y Lesionado,Artefactos Explosivos,Guerrilla-FARC,,,,2,Noche y Niebla # 24 Pp. 65,
15,5,2002,Caldas,Marulanda,Corregimiento Montebonito,,,Guerrilla-FARC,1,1,,,Noche y Niebla # 24 Pp. 64,
8,6,2002,Narino ,Potosi,Cabecera Municipal,Bienes Civiles,,Guerrilla-FARC,,,,,Noche y Niebla # 24 Pp. 102,
11,6,2002,Narino,Buesaco,Cabecera Municipal,Dano a Bienes Civiles,,Guerrilla-FARC,,,,,Noche y Niebla # 24 Pp. 106,
4,7,2002,Santander,Surata,Cabecera Municipal,Bienes Civiles y Secuestro,Fusiles y Artefactos Explosivos,Guerrilla-FARC,,,,,Noche y Niebla # 25 Pp. 6,
12,7,2002,Cauca,Totoro,Cabecera Municipal,Dano a Bienes Civiles,Fusiles,Guerrilla-FARC,3,3,,,Noche y Niebla # 25 Pp. 18,
17,7,2002,Putumayo,Orito,Cabecera Municipal,Bienes Civiles,Artefactos Explosivos,Guerrilla-FARC,,,,,Noche y Niebla # 25 Pp. 23,
17,7,2002,Tolima,Dolores,Cabecera Municipal,Bienes Civiles y Lesionado,,Guerrilla-FARC,,,,2,Noche y Niebla # 25 Pp. 23,
29,7,2002,Narino,La Tola,Cabecera Municipal,Bienes Civiles y Pillaje,,Guerrilla-FARC,,,,,Noche y Niebla # 25 Pp. 36,
29,7,2002,Narino,Cumbal,Cabecera Municipal,Bienes Civiles,,Guerrilla-FARC,,,,,Noche y Niebla # 25 Pp. 37,
7,8,2002,Cauca,El Tambo,Cabecera Municipal,,,Guerrilla-FARC,3,3,,,Noche y Niebla # 25 Pp. 50-51,
10,8,2002,Huila,San Agustin,Cabecera Municipal,Bienes Civiles,Granadas y Artefactos Explosivos,Guerrilla-FARC,,,,,Noche y Niebla # 25 Pp. 56,
11,8,2002,Cauca,El Tambo,Cabecera Municipal,Bienes Civiles,Fusiles y Cilindro Bomba,Guerrilla-FARC,,,,,Noche y Niebla # 25 Pp. 56,
29,10,2002,Bolivar,Cordoba,Cabecera Municipal,Bienes Civiles,Fusiles y Artefactos Explosivos,Guerrilla-FARC,,,,,Noche y Niebla # 26 Pp. 43,
30,10,2002,Cesar,Curumani,Corregimiento San Roque,Bienes Civiles,,Guerrilla-FARC,1,1,,,Noche y Niebla # 26 Pp. 45,
2,11,2002,Tolima,Casabianca,Cabecera Municipal,Pillaje y Lesionado,,Guerrilla-FARC,,,,5,Noche y Niebla # 26 Pp. 48,
12,11,2002,Tolima,Cajamarca,Cabecera Municipal,,,Guerrilla-FARC,,,,,Noche y Niebla # 26 Pp. 62,
16,11,2002,Tolima,Villahermosa,Cabecera Municipal,Bienes Civiles,,Guerrilla-ELN,,,,,Noche y Niebla # 26 Pp. 68,
20,11,2002,Norte de Santander,Hacari,Cabecera Municipal,Bienes Civiles y Lesionado,,Guerrilla-EPL,,,,1,Noche y Niebla # 26 Pp. 74,
18,12,2002,Arauca,Arauquita,Cabecera Municipal,Dano a Bienes Civiles y Lesionado,Cilindros Bomba,Guerrilla No Identificada,,,,3,Noche y Niebla # 26 Pp. 107,
1,1,2002,Caqueta,Milan,Cabecera Municipal,"Dano a Bienes Civiles, Lesionado, Civil Muerto y Masacre",,Guerrilla-FARC,,,,4,Noche y Niebla # 23 Pp. 1,
13,1,2002,Narino,Alban (San Jose),Cabecera Municipal,Bienes Civiles y Pillaje,,Guerrilla-FARC y ELN,10,9,1,,Noche y Niebla # 23 Pp. 12,
20,1,2002,Cesar,Valledupar,Corregimiento Aguas Blancas,Lesionado,"Fusiles, Granadas y Cilindro Bomba",Guerrilla-FARC,2,1,1,7,Noche y Niebla # 23 Pp. 25,
25,1,2002,Caldas,Samana,Cabecera Municipal, ,,Guerrilla-FARC,1, ,1,, Noche y Niebla # 23 Pp. 32,
2,2,2002,Arauca,Tame,Cabecera Municipal,Bienes Civiles y Lesionado,Cilindro Bomba,Guerrilla-FARC,2,1,1,3,Noche y Niebla # 23 Pp. 47,
25,2,2002,Boyaca,Aquitania,,Pillaje y Lesionado,Fusiles,Guerrilla-FARC,2,1,1,1,Noche y Niebla # 23 Pp. 78,
28,2,2002,Narino,Funes,Cabecera Municipal,Pillaje y Lesionado,,Guerrilla-FARC,2,,2,4, Noche y Niebla # 23 Pp. 83,
18,3,2002,Narino,Policarpa,Cabecera Municipal,Lesionado,,Guerrilla-FARC,1,,1,,Noche y Niebla # 23 Pp. 110,
15,4,2002,Narino,La Cruz,Cabecera Municipal,Bienes Civiles y Lesionado,Fusiles y Cilindro Bomba,Guerrilla-FARC,4,3,1,,Noche y Niebla # 24 Pp. 23,
17,5,2002,Narino,Barbacoas,Cabecera Municipal,Bienes Civiles y Lesionado,Cilindro Bomba,Guerrilla-FARC,1,,1,1, Noche y Niebla # 24 Pp. 67,
10,7,2002,Huila,Oporapa,Cabecera Municipal, ,,Guerrilla-FARC,1,,1,, Noche y Niebla # 25 Pp. 14,
10,7,2002,Huila,Tarqui,Cabecera Municipal,Dano a Bienes Civiles y Pillaje,,Guerrilla-FARC,3,2,1,, Noche y Niebla # 25 Pp. 14 y 15,
11,7,2002,Cauca,Toribio,Cabecera Municipal ,Bienes Civiles,"Fusiles, Rockets y Cilindros de Gas",Guerrilla-FARC,1,,1,2,Noche y Niebla # 25 Pp. 17,
29,7,2002,Narino,Causpud (Carlosama),Cabecera Municipal,Bienes Civiles,,Guerrilla-FARC,2,1,1,, Noche y Niebla # 25 Pp. 37,
12,8,2002,Narino,Los Andes (Sotomayor),Cabecera Municipal,Bienes Civiles,Fusiles y Cilindro Bomba,Guerrilla-FARC,1,,1,, Noche y Niebla # 25 Pp. 50,
12,12,2002,Narino,Cumbal,Cabecera Municipal,Pillaje y Lesionado,,Guerrilla-FARC,5,4,1,,Noche y Niebla # 26 Pp. 99,
16,3,2002,Tolima,Venadillo,Cabecera Municipal,"Dano a Bienes Civiles, Pillaje y Lesionado",,Guerrilla-FARC,1,,1,2,Noche y Niebla # 23 Pp. 108,
8,8,2002,Caqueta,Milan,Cabecera Municipal,Bienes Civiles y Asesinato Selectivo,Cilindros Bomba,Guerrilla-FARC,2,,2,,Noche y Niebla # 24 Pp. 53,
20,9,2002,Narino,Samaniego,Cabecera Municipal,Secuestro y Asesinato Selectivo,,Guerrilla-FARC,3,,3,,Noche y Niebla # 24 Pp. 112,
11,1,2003,Cauca,Balboa,Cabecera Municipal,Lesionado,,Guerrilla-FARC,,,,1,Noche y Niebla # 27 Pp. 37,
20,3,2003,Narino,Ricaurte,Cabecera Municipal,Bienes Civiles y Lesionado,,Guerrilla-FARC y ELN,,, ,1,Noche y Niebla # 27 Pp. 141,
29,3,2003,Norte de Santander,Hacari,Cabecera Municipal,Bienes Civiles y Lesionado,,Guerrilla-FARC,,,,1,Noche y Niebla # 27 Pp. 152,
30,4,2003,Narino,Cumbitara,Cabecera Municipal,Bienes Civiles y Lesionado,,Guerrilla-FARC,2,2,,1,Noche y Niebla # 27 Pp. 199,
21,5,2003,Cauca,Silvia,Cabecera Municipal,Bienes Civiles,Fusiles y Cilindro Bomba,Guerrilla-FARC,,,,,Noche y Niebla # 27 Pp. 234,
30,6,2003,Narino,Mallama,Cabecera Municipal,Bienes Civiles y Lesionado,Fusiles y Artefactos Explosivos,Guerrilla-FARC,1,1,,3,Noche y Niebla # 27 Pp. 285,
11,12,2003,Norte de Santander,Hacari,Cabecera Municipal,,,Guerrilla-FARC,,,,,Noche y Niebla # 28 Pp. 246-247,
9,7,2003,Narino,Samaniego,Cabecera Municipal,Bienes Civiles y Lesionado,Fusiles y Artefactos Explosivos,Guerrilla-FARC,2,1,1,4,"Noche y Niebla # 28, Pp. 42",
28,12,2003,Bolivar,Montecristo,Cabecera Municipal,Bienes Civiles y Lesionado,,Guerrilla-ERP,1,,1,4,"Noche y Niebla # 28, Pp. 258",
7,1,2004,Cauca,Jambalo,Cabecera Municipal,,,Guerrilla-FARC,,,,,Noche y Niebla # 29 Pp. 57,
13,3,2004,Valle del Cauca,Riofrio,Corregimiento Fenicia,Bienes Civiles y Lesionado,,Guerrilla-FARC,,,,2,Noche y Niebla # 29 Pp. 114,
6,8,2004,Norte de Santander,San Calixto,Cabecera Municipal,Bienes Civiles,,Guerrilla-FARC,,,,,Noche y Niebla # 30 Pp. 102,
24,1,2004,Narino,La Llanada,Cabecera Municipal,Bienes Civiles,,Guerrilla-FARC,1,,1,,Noche y Niebla # 29. Pp. 49,
17,12,2005,Choco,Bagado,IP San Marino,Lesionado, ,Guerrilla-FARC,,,,4,Noche y Niebla # 32 Pp. 185,
28,7,2006,Cauca,Toribio,Cabecera Municipal,Bienes Civiles,Cilindro Bomba,Guerrilla-FARC,,,,,Noche y Niebla # 34 Pp. 43,
28,8,2006,Cauca,Toribio,Cabecera Municipal,Bienes Civiles,Cilindro Bomba,Guerrilla-FARC,,,,,Noche y Niebla # 34 Pp. 72,
4,8,2006,Tolima,Casabianca,Cabecera Municipal,,,Guerrilla-FARC,1,,1,,Noche y Niebla # 34-35 Pp. 70,
11,4,2007,Tolima,Rioblanco,Cabecera Municipal,Bienes Civiles,,Guerrilla-FARC,,,,,Noche y Niebla # 35 Pp. 247,
11,10,2007,Cauca,Paez (Belalcazar),Cabecera Municipal, ,,Guerrilla-FARC,,,,,Banco de Datos de Derechos Humanos y Violencia Politica del CINEP,
18,12,2007,Cauca,Toribio,Cabecera Municipal,,,Guerrilla-FARC,,,,,Banco de Datos de Derechos Humanos y Violencia Politica del CINEP,
23,10,2007,Tolima,Roncesvalles,Cabecera Municipal,,,Guerrilla-FARC,2,1,1,,Noche y Niebla # 36 Pp. 129,
13,1,2008,Narino,Tuquerres,IP San Sebastian,,,Guerrilla-FARC,,,,,Banco de Datos de Derechos Humanos y Violencia Politica del CINEP,
26,4,2008,Cauca,Toribio,Cabecera Municipal,,,Guerrilla-FARC,,,,,Banco de Datos de Derechos Humanos y Violencia Politica del CINEP,
30,4,2008,Tolima,Roncesvalles,Cabecera Municipal,,,Guerrilla-FARC,,,,,Banco de Datos de Derechos Humanos y Violencia Politica del CINEP,
24,4,2008,Choco,Quibdo,Corregimiento Tutunendo,,,Guerrilla-FARC,,,,,Banco de Datos de Derechos Humanos y Violencia Politica del CINEP,
19,11,2008,Tolima,Alpujarra,IP La Arada,,,Guerrilla-FARC,,,,,Banco de Datos de Derechos Humanos y Violencia Politica del CINEP,
19,1,2009,Huila,Algeciras,Cabecera Municipal,,,Guerrilla-FARC,,,,,Banco de Datos de Derechos Humanos y Violencia Politica del CINEP,
25,1,2009,Tolima,Roncesvalles,Cabecera Municipal,,,Guerrilla-FARC,,,,,Banco de Datos de Derechos Humanos y Violencia Politica del CINEP,
14,3,2009,Norte de Santander,San Calixto,Cabecera Municipal,,,Guerrilla-ELN,,,,1,Noche y Niebla # 39 Pp. 124,
17,3,2009,Cauca,Caldono,IP Siberia,,,Guerrilla-FARC,,,,,Banco de Datos de Derechos Humanos y Violencia Politica del CINEP,
18,3,2009,Norte de Santander,Tibu,Corregimiento Campo Dos,,,Guerrilla-FARC,,,,,Banco de Datos de Derechos Humanos y Violencia Politica del CINEP,
15,5,2009,Boyaca,Cubara,Cabecera Municipal,,,Guerrilla-FARC,,,,,Banco de Datos de Derechos Humanos y Violencia Politica del CINEP,
20,10,2009,Cauca,Jambalo,Cabecera Municipal,,,Guerrilla-FARC,,,,,Banco de Datos de Derechos Humanos y Violencia Politica del CINEP,
31,10,2009,Cauca,Toribio,Cabecera Municipal,Lesionado,,Guerrilla-FARC,,,,6,Noche y Niebla # 40 Pp. 186,
13,1,2009,Narino,Roberto Payan,Cabecera Municipal,,Fusiles y Cilindro Bomba,Guerrilla-FARC,3,,3,10,Banco de Datos de Derechos Humanos y Violencia Politica del CINEP,
13,11,2010,Narino,Barbacoas,Corregimiento Buenavista,Lesionado,,Guerrilla-FARC,3,2,1,2,Noche y Niebla N°42. Pp. 135,
13,9,2011,Cauca,Argelia,Cabecera Municipal,,,Guerrilla-FARC,1,,1,,Banco de Datos de Derechos Humanos y Violencia Politica del CINEP,
4,1,2012,Cauca,El Tambo,IP San Joaquin,,,Guerrilla-FARC,,,,,Noche y Niebla # 45 Pp. 62,
15,1,2012,Narino,Barbacoas,Corregimiento Altaquer,,Fusiles y Tatucos,Guerrilla-FARC,1,1,,,Noche y Niebla # 45 Pp. 74,
5,6,2012,Norte de Santander,Cucuta,Corregimiento Banco de Arena,Bienes Civiles,,Guerrilla No Identificada,,,,,Noche y Niebla # 45 Pp. 176-177,
27,7,2012,Cauca,Jambalo,Cabecera Municipal,Bienes Civiles,,Guerrilla-FARC,,,,,Noche y Niebla # 46 Pp. 114,
9,8,2012,Boyaca,Pisba,Cabecera Municipal,Bienes Civiles,,Guerrilla-FARC y ELN,,,,,Noche y Niebla # 46 Pp. 130,
9,8,2012,Narino,Mallama,Corregimiento Chucunes,Bienes Civiles,Tatucos,Guerrilla-FARC y ELN,,,,,Noche y Niebla # 46 Pp. 130,
,,,,,,,,,1730,1342,392, ,,
