Dia,Mes,Ano,Departamento,Municipio,Lugar de Ocurrencia,Tipo de Implicado (1),Tipo de Implicado (2),Nº Victimas,Fuente,
6,1,1981,Santander,Barrancabermeja,,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Itinerario de la Represion Oficial y Militar en 1981. Pp. 2,
7,1,1981,Huila,Algeciras,,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario de la Represion Oficial y Militar en 1981. Pp. 2,
10,1,1981,Cesar,Valledupar,,Fuerza Publica,Policia Nacional,2,Itinerario de la Represion Oficial y Militar en 1981. Pp. 2,
17,1,1981,Distrito Capital,Bogota D.C.,,Fuerza Publica,Policia Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp. 2,
20,1,1981,Valle del Cauca,Cali,"Sector de 'Vojes""",Grupo Armado No Identificado,Grupo Armado No Identificado,1,Itinerario de la Represion Oficial y Militar en 1981. Pp. 2,
20,1,1981, Antioquia,Puerto Berrio,,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario de la Represion Oficial y Militar en 1981. Pp. 2,
20,1,1981,Distrito Capital,Bogota D.C.,,Fuerza Publica,Policia Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp. 2,
27,1,1981,Distrito Capital,Bogota D.C.,,Fuerza Publica,Policia Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp. 2,
31,1,1981,Distrito Capital,Bogota D.C.,,Fuerza Publica,Policia Nacional,2,Itinerario de la Represion Oficial y Militar en 1981. Pp. 3,
6,2,1981,Tolima,Melgar,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp. 3,
3,3,1981,Cauca,Santander de Quilichao,,Fuerza Publica,Ejercito Nacional,2,Itinerario de la Represion Oficial y Militar en 1981. Pp. 5,
5,3,1981,Caqueta,San Vicente del Caguan,"Sitio ""Las Perlas'",Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp. 5,
8,3,1981,Cundinamarca,Yacopi,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp. 5,
18,3,1981,Cauca,Jambalo,,Grupos Paramilitares,Grupos Paramilitares,4,Itinerario de la Represion Oficial y Militar en 1981. Pp.6,
18,3,1981,Boyaca,Tutasa,,Fuerza Publica,Policia Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.6,
23,3,1981,Guaviare ,San Jose del Guaviare,Sitio Cano Cafre,Fuerza Publica,Ejercito Nacional,2,Itinerario de la Represion Oficial y Militar en 1981. Pp.7,
24,3,1981,Caqueta,Florencia,Norcasia,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.7,
25,3,1981,Cauca,Puerto Tejada,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.7,
26,3,1981,Tolima,Melgar,,Fuerza Publica,Policia Nacional,3,Itinerario de la Represion Oficial y Militar en 1981. Pp.7,
28,3,1981,Caqueta,Florencia,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.7,
30,3,1981,Boyaca,Otanche,,Fuerza Publica,Agentes Secretos,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.8,
30,3,1981,Meta,San Juan de Arama,Batallon Vargas,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.8,
8,4,1981, Antioquia,Mutata,,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario de la Represion Oficial y Militar en 1981. Pp.8,
8,4,1981, Antioquia,Turbo,,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario de la Represion Oficial y Militar en 1981. Pp.8,
23,4,1981,Guaviare ,San Jose del Guaviare,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.9,
24,4,1981,Caqueta,Albania,,Fuerza Publica,Ejercito Nacional,3,Itinerario de la Represion Oficial y Militar en 1981. Pp.9,
24,4,1981,Caqueta,El Paujil,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.9,
26,4,1981,Caqueta,Puerto Rico,,Fuerza Publica,Policia Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.9,
27,4,1981,Caqueta,Florencia,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.9,
29,4,1981,Santander,Santa Elena del Opon,,Grupos Paramilitares,Grupos Paramilitares,3,Itinerario de la Represion Oficial y Militar en 1981. Pp.9,
4,5,1981,Caqueta,Albania,,Fuerza Publica,Ejercito Nacional,2,Itinerario de la Represion Oficial y Militar en 1981. Pp.10,
5,5,1981,,San Juan Bosco,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.10,
5,5,1981,Santander,San Francisco,,Fuerza Publica,Policia Nacional,3,Itinerario de la Represion Oficial y Militar en 1981. Pp.10,
6,5,1981, Antioquia,,Rio Leon,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.10,
6,5,1981, Antioquia,Mutata,,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.10,
10,5,1981,Guaviare ,San Jose del Guaviare,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.10,
15,5,1981, Antioquia,Puerto Triunfo,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.11,
16,5,1981, Antioquia,Turbo,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.11,
17,5,1981,Valle del Cauca,Cali,Cabecera Municipal,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.11,
17,5,1981,Cauca,Caldono ,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.11,
19,5,1981, Antioquia,Apartado,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.11,
24,5,1981,Huila,Algeciras,,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario de la Represion Oficial y Militar en 1981. Pp.12,
26,5,1981,Santander,San Vicente de Chucuri,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.12,
2,6,1981,Santander,Cachinay,,Fuerza Publica,Ejercito Nacional,2,Itinerario de la Represion Oficial y Militar en 1981. Pp.13,
12,6,1981, Antioquia,Puerto Nare,Vereda La Sierra,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.14,
12,6,1981,Caqueta,Puerto Rico,Cabecera Municipal,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.14,
12,6,1981,Santander,Velez,,Fuerza Publica,Ejercito Nacional,3,Itinerario de la Represion Oficial y Militar en 1981. Pp.14,
15,6,1981,Valle del Cauca,Cali,Cabecera Municipal,Fuerza Publica,Policia Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.14,
17,6,1981,Valle del Cauca,Cali,Cabcera Municipal - Barrio Tres de Mayo,Fuerza Publica,Policia Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.14,
22,6,1981,Cundinamarca,Venecia,Vereda La Reforma,Fuerza Publica,Policia Nacional,2,Itinerario de la Represion Oficial y Militar en 1981. Pp.14,
28,6,1981, Antioquia,Mutata,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.15,
29,6,1981,Santander,Barrancabermeja,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.15,
29,6,1981, Antioquia,San Pedro de Uraba,,Grupos Paramilitares,Grupos Paramilitares,3,Itinerario de la Represion Oficial y Militar en 1981. Pp.15,
3,7,1981,Caqueta,Florencia,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.15,
3,7,1981,Caqueta,Puerto Rico,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.15,
5,7,1981, Antioquia,Mutata,Pavarando,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario de la Represion Oficial y Militar en 1981. Pp.15,
8,7,1981,Tolima,Planadas,IP Gaitania,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.15,
9,7,1981,Cauca,Tierradentro,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.15,
20,7,1981,Boyaca,Otanche,,Fuerza Publica,Policia Nacional,2,Itinerario de la Represion Oficial y Militar en 1981. Pp.16,
21,7,1981, Antioquia,Turbo,Corregimiento de Currulao - Vereda Turbo,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.16,
21,7,1981, Antioquia,,Vereda Coello,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.16,
21,7,1981, Antioquia,,Vereda Coello,Fuerza Publica,Ejercito Nacional,2,Itinerario de la Represion Oficial y Militar en 1981. Pp.16,
22,7,1981,Huila,Pitalito,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.17,
24,7,1981,Cundinamarca,Yacopi,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.17,
26,7,1981,Caqueta,Florencia,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.17,
31,7,1981,Caqueta,Berlin,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.18,
4,8,1981, Antioquia,Chigorodo,Vereda Leon Porroso,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.18,
4,8,1981, Antioquia,Turbo,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.18,
10,8,1981,Caqueta,Puerto Rico,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.18,
10,8,1981,Caqueta,San Vicente del Caguan,Cabecera Municipal,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.18,
11,8,1981, Antioquia,Turbo,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.19,
19,8,1981,Meta ,Uribe,Vereda Santander,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.19,
26,8,1981,Meta,Mesetas,,Fuerza Publica,Ejercito Nacional,2,Itinerario de la Represion Oficial y Militar en 1981. Pp.20,
31,8,1981, Antioquia,,,Fuerza Publica,Ejercito Nacional,2,Itinerario de la Represion Oficial y Militar en 1981. Pp.20,
5,9,1981,Meta,San Juan de Arama,Vereda el Jazmin,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.21,
5,9,1981,Santander,Cimitarra,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.21,
12,9,1981,Arauca,Saravena,,Fuerza Publica,Ejercito Nacional,2,Itinerario de la Represion Oficial y Militar en 1981. Pp.21,
20,9,1981,Distrito Capital,Bogota D.C.,Cabecera Municipal - Barrio las Ferias,Desconocidos,Desconocidos,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.21,
28,9,1981,Distrito Capital,Bogota D.C.,Cabecera Municipal,Desconocidos,Desconocidos,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.22,
10,10,1981,Distrito Capital,Bogota D.C.,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.23,
10,10,1981,Tolima,Icononzo,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.23,
13,10,1981,Santander,Florian,Zona Rural,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.23,
21,10,1981,Putumayo,Puerto Asis,,Fuerza Publica,Policia Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.26,
3,11,1981,Santander,Florian,Vereda Las Delicias,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.27,
16,11,1981,Caqueta,Yurayaco,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.27,
19,11,1981, Antioquia,Medellin,,Fuerza Publica,Policia Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.28,
26,11,1981,Caqueta,Curillo,,Fuerza Publica,Ejercito Nacional,2,Itinerario de la Represion Oficial y Militar en 1981. Pp.28,
28,11,1981,Caqueta,San Jose del Fragua ,Vereda Sabaleta,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.28,
6,12,1981, Antioquia,Caucasia,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.29,
6,12,1981,Caqueta,Curillo,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.29,
6,12,1981,Santander,Surata,,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.29,
7,12,1981, Antioquia,Medellin,Cabecera Municipal,Fuerza Publica,Policia Nacional,2,Itinerario de la Represion Oficial y Militar en 1981. Pp.29,
10,12,1981,Santander,Santa Elena del Opon,,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario de la Represion Oficial y Militar en 1981. Pp.29,
11,12,1981,Arauca,Fortul,Zona Rural,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario de la Represion Oficial y Militar en 1981. Pp.29,
14,12,1981,Caldas,La Dorada,,Desconocidos,Desconocidos,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.30,
15,12,1981,Santander,Cimitarra,Zona Rural,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario de la Represion Oficial y Militar en 1981. Pp.30,
27,12,1981,Cundinamarca,Yacopi,,Grupos Paramilitares,Grupos Paramilitares,3,Itinerario de la Represion Oficial y Militar en 1981. Pp.30,
31,12,1981,Huila,Neiva ,El Pato,Fuerza Publica,Ejercito Nacional,1,Itinerario de la Represion Oficial y Militar en 1981. Pp.30,
3,1,1982, Antioquia,Medellin,,Grupos Paramilitares,Grupos Paramilitares,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 2",
6,1,1982, Antioquia,Medellin,, Grupos Paramilitares, Grupos Paramilitares,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 2",
6,1,1982, Antioquia,Medellin,, Grupos Paramilitares, Grupos Paramilitares,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 2",
7,1,1982,Caqueta,Solita,,Grupos Paramilitares,Grupos Paramilitares,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 2",
8,1,1982,Caqueta,Curillo,,Grupos Paramilitares,Grupos Paramilitares,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 2",
10,1,1982,Valle del Cauca,Cartago,,Grupo Armado No Identificado,Grupo Armado No Identificado,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 2",
11,1,1982, Antioquia,Puerto Berrio,Vereda La Carlota,Grupos Paramilitares,Grupos Paramilitares,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 2",
12,1,1982,Caqueta,Solita,,Fuerza Publica,Ejercito Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 2",
13,1,1982,Cundinamarca,Yacopi,,Fuerza Publica,Ejercito Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 2",
20,1,1982,Santander,Landazuri,,Grupo Armado No Identificado,Grupo Armado No Identificado,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 2",
21,1,1982,Cordoba,Monteria,,Grupo Armado No Identificado,Grupo Armado No Identificado,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 3",
21,1,1982,Santander,San Vicente de Chucuri,,Grupos Paramilitares,Grupos Paramilitares,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 3",
31,1,1982,Cundinamarca,Yacopi,Vereda Las Palmas y Vereda Alto Viento,Fuerza Publica,Ejercito Nacional,3,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 4",
3,2,1982, Antioquia,Medellin,Cabecera Municipal, Grupos Paramilitares, Grupos Paramilitares,2,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 4",
3,2,1982,Cundinamarca,Zipaquira,Cabecera Municipal,Grupo Armado No Identificado,Grupo Armado No Identificado,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 4",
3,2,1982,Caqueta,Solita,Vereda El Canelo,Grupos Paramilitares,Grupos Paramilitares,2,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 4",
4,2,1982,Caqueta,Florencia,Vereda Consolata,Grupos Paramilitares,Grupos Paramilitares,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 5",
4,2,1982,Magdalena ,Chivolo,,Fuerza Publica,Policia Nacional,2,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 5",
6,2,1982,Distrito Capital,Bogota D.C.,, Grupos Paramilitares, Grupos Paramilitares,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 5",
7,2,1982,Caqueta,Maticuri,,Grupos Paramilitares,Grupos Paramilitares,2,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 5",
8,2,1982,Cundinamarca,Yacopi,Cabecera Municipal,Fuerza Publica,Ejercito Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 5",
8,2,1982,Caqueta,San Vicente del Caguan,Remolino,Grupos Paramilitares,Grupos Paramilitares,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 5",
10,2,1982, Antioquia,Caracoli,,Fuerza Publica,Ejercito Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 5",
10,2,1982,Santander,San Vicente de Chucuri,,Grupo Armado No Identificado,Grupo Armado No Identificado,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 6",
10,2,1982,Valle del Cauca,Cali,,Grupo Armado No Identificado,Grupo Armado No Identificado,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 6",
11,2,1982,Boyaca,,,Fuerza Publica,Ejercito Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 6",
14,2,1982,Cundinamarca,Yacopi,,Fuerza Publica,Ejercito Nacional,2,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 6",
15,2,1982,Cundinamarca,Yacopi,Vereda Guadualito,Fuerza Publica,Ejercito Nacional,2,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 6",
18,2,1982,Distrito Capital,Bogota D.C.,, Grupos Paramilitares, Grupos Paramilitares,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 7",
18,2,1982,Boyaca,Puerto Boyaca,Vereda El Pescado,Fuerza Publica,Ejercito Nacional,2,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 7",
18,2,1982,Distrito Capital,Bogota D.C.,,Fuerza Publica,Policia Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 6",
24,2,1982,Putumayo,Mocoa,,Fuerza Publica,Ejercito Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 7",
28,2,1982, Antioquia,Taraza,,Grupo Armado No Identificado,Grupo Armado No Identificado,2,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 7",
9,3,1982,Distrito Capital,Bogota D.C.,, Grupos Paramilitares, Grupos Paramilitares,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 8",
11,3,1982,Distrito Capital,Bogota D.C.,Sitio Alto de San Miguel, Grupos Paramilitares, Grupos Paramilitares,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 9",
11,3,1982,Cauca,Popayan,,Fuerza Publica,Ejercito Nacional,2,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 9",
19,3,1982,Caqueta,Belen de los Andaquies,,Fuerza Publica,Ejercito Nacional,2,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 10",
23,3,1982,Boyaca,Puerto Boyaca,,Fuerza Publica,Ejercito Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 10",
23,3,1982,Valle del Cauca,Cali,,Grupos Paramilitares,Grupos Paramilitares,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 10",
26,3,1982,Valle del Cauca,Cali,,Fuerza Publica,Policia Nacional,2,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 11",
27,3,1982,Santander,Cimitarra,Vereda Dos Hermanos,Fuerza Publica,Ejercito Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 11",
29,3,1982, Antioquia,Caucasia,,Fuerza Publica,Policia Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 11",
30,3,1982,Boyaca,Puerto Boyaca,Cabecera Municipal,Grupos Paramilitares,Grupos Paramilitares,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 12",
1,4,1982,Caqueta,El Paujil,Vereda Arabia,Grupos Paramilitares,Grupos Paramilitares,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 12",
7,4,1982,Meta,San Martin,, Grupos Paramilitares, Grupos Paramilitares,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 12",
7,4,1982,Atlantico,Sabanagrande,,Grupos Paramilitares,Grupos Paramilitares,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 12",
10,4,1982,Santander,Barrancabermeja,,Fuerza Publica,Ejercito Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 12",
15,4,1982,Caqueta,Puerto Rico,,Fuerza Publica,Ejercito Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 13",
18,4,1982,Caqueta,El Paujil,Vereda Bolivia,Grupos Paramilitares,Grupos Paramilitares,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 13",
24,4,1982,Huila ,Garzon,,Fuerza Publica,Ejercito Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 14",
4,5,1982,Putumayo,Puerto Asis,,Fuerza Publica,Ejercito Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 15",
4,5,1982,Valle del Cauca,Cali,,Fuerza Publica,Policia Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 15",
6,5,1982,Caldas,Manizales,,Fuerza Publica,Policia Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 15",
14,5,1982,Huila ,Neiva,Cabecera Municipal,Fuerza Publica,Ejercito Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 16",
17,5,1982,Huila ,Algeciras,,Fuerza Publica,Policia Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 16",
18,5,1982, Antioquia,Mutata,Corregimiento Vagira,Fuerza Publica,Ejercito Nacional,3,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 16",
20,5,1982,Santander,Cimitarra,,Grupos Paramilitares,Grupos Paramilitares,3,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 16",
21,5,1982,Boyaca,Puerto Boyaca,,Grupos Paramilitares,Grupos Paramilitares,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 17",
26,5,1982,Cundinamarca,Choconta,, Grupos Paramilitares, Grupos Paramilitares,2,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 17",
26,5,1982,Cesar,Aguachica,,Fuerza Publica,Policia Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 17",
31,5,1982, Antioquia,Medellin,,Grupo Armado No Identificado,Grupo Armado No Identificado,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 18",
1,6,1982,Distrito Capital,Bogota D.C.,Cabecera Municipal - Barrio Venecia,Fuerza Publica,Policia Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 19",
6,6,1982,Tolima ,Libano,Cabecera Municipal,Fuerza Publica,Policia Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 20",
11,6,1982,Caqueta,El Doncello,,Fuerza Publica,Ejercito Nacional,3,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 20",
14,6,1982, Antioquia,Puerto Berrio,, Grupos Paramilitares, Grupos Paramilitares,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 20",
14,6,1982,Caqueta,Florencia,,Fuerza Publica,Ejercito Nacional,3,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 20",
18,6,1982,Distrito Capital,Bogota D.C.,Lesionado,Fuerza Publica,Ejercito Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 21",
19,6,1982,Tolima ,Guamo,,Grupos Paramilitares,Grupos Paramilitares,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 21",
20,6,1982,Santander,Cimitarra,,Grupo Armado No Identificado,Grupo Armado No Identificado,3,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 21",
29,6,1982,Santander,Sucre,Sitio Sabanagrande,Grupos Paramilitares,Grupos Paramilitares,2,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 21",
1,7,1982, Antioquia,Taraza,,Fuerza Publica,Ejercito Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 21",
1,7,1982,Cundinamarca,Yacopi,,Grupos Paramilitares,Grupos Paramilitares,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 21",
1,7,1982, Antioquia,Medellin,Cabecera Municipal,Fuerza Publica,Policia Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 22",
5,7,1982,Santander,Sucre,,Grupo Armado No Identificado,Grupo Armado No Identificado,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 22",
6,7,1982,Caldas,El Doncello,,Fuerza Publica,Ejercito Nacional,2,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 22",
9,7,1982, Antioquia,Segovia,,Fuerza Publica,Ejercito Nacional,3,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 22",
11,7,1982,Santander,Simacota,, Grupos Paramilitares, Grupos Paramilitares,2,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 22",
13,7,1982,Boyaca,Puerto Boyaca,Cabecera Municipal,Fuerza Publica,Ejercito Nacional,2,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 23",
20,7,1982,Distrito Capital,Bogota D.C.,,Fuerza Publica,Policia Nacional,1,"Itinerario  de la Represion Oficial, Militar y Paramilitar. Pag. 23",
