Dia,Mes,Ano,Departamento,Municipio,Lugar de Ocurrencia,Tipo de Implicado (1),Tipo de Implicado (2),Nº Victimas,Fuente,
29,1,1999,Bolivar,Cordoba,Zona Rural,Grupo Armado No Identificado,Grupo Armado No Identificado,1,"Noche y Niebla # 11, Pp. 56",
31,1,1999, Antioquia,Frontino,Corregimiento Nutibara,Grupos Paramilitares,Grupos Paramilitares,1,"Noche y Niebla # 11, Pp. 57",
31,1,1999, Antioquia,Frontino,Via entre Musinga y Nutibara,Grupos Paramilitares,Grupos Paramilitares,1,"Noche y Niebla # 11, Pp. 57",
31,1,1999, Antioquia,Puerto Triunfo,Via Bogota-Medellin,Grupos Paramilitares,Grupos Paramilitares,2,"Noche y Niebla # 11, Pp. 57",
1,2,1999,Cordoba,Tierralta, Caserio Frasquillo-Vereda El Gallo,Grupos Paramilitares,Grupos Paramilitares,2,"Noche y Niebla # 11, Pp. 61",
1,2,1999, Antioquia,Cocorna,Vereda Choco,Grupo Armado No Identificado,Grupo Armado No Identificado,1,"Noche y Niebla # 11, Pp. 61",
2,2,1999,Bolivar,Cordoba,Cabecera Municipal,Guerrilla  ,Guerrilla-FARC,1,"Noche y Niebla # 11, Pp. 61",
4,2,1999, Antioquia,Medellin,Barrio Santo Domingo Savio,Grupo Armado No Identificado,Grupo Armado No Identificado,1,"Noche y Niebla # 11, Pp. 62",
4,2,1999,Santander,Puerto Wilches,Via entre Vijagual y Carpintero,Grupos Paramilitares,Grupos Paramilitares,1,"Noche y Niebla # 11, Pp. 62",
5,2,1999, Antioquia,Abejorral,Vereda Alto Bonito,Grupo Armado No Identificado,Grupo Armado No Identificado,1,"Noche y Niebla # 11, Pp. 63",
6,2,1999, Antioquia,Retiro,Vereda el Portento,Grupo Armado No Identificado,Grupo Armado No Identificado,1,"Noche y Niebla # 11, Pp. 64",
6,2,1999,Bolivar,Cordoba,Cabecera Municipal,Grupo Armado No Identificado,Grupo Armado No Identificado,1,"Noche y Niebla # 11, Pp. 64",
6,2,1999,Distrito Capital,Bogota D.C.,avenida Jorge Gaitan Cortes,Fuerza Publica,Policia Nacional,1,"Noche y Niebla # 11, Pp. 64",
7,2,1999,Cauca,La Sierra,Corregimiento La Cuchilla,Grupo Armado No Identificado,Grupo Armado No Identificado,1,"Noche y Niebla # 11, Pp. 65",
7,2,1999,Cauca,Puerto Tejada,Barrio La Esperanza,Grupos Paramilitares,Grupos Paramilitares,1,"Noche y Niebla # 11, Pp. 65",
7,2,1999, Antioquia,Argelia,Cabecera Municipal,Guerrilla  ,Guerrilla No Identificada,3,Noche y Niebla # 11 Pp. 64-65,
7,2,1999, Antioquia,Remedios,Vereda San Mateo,Guerrilla  ,Guerrilla-ELN,2,"Noche y Niebla # 11, Pp. 65",
7,2,1999, Antioquia,Guadalupe,Cabecera Municipal,Guerrilla  ,Guerrilla-FARC,1,"Noche y Niebla # 11, Pp. 65",
8,2,1999,Caldas,La Merced,Vereda La Quiebra de San Jose,Desconocidos,Desconocidos,1,"Noche y Niebla # 11, Pp. 66",
8,2,1999,Cesar,Agustin Codazzi,carrera 15 con calle 13,Desconocidos,Desconocidos,1,"Noche y Niebla # 11, Pp. 65",
8,2,1999,Huila,Neiva,Establecimiento publico,Desconocidos,Desconocidos,1,"Noche y Niebla # 11, Pp. 65",
8,2,1999,Norte de Santander,Abrego,Vereda La Aurora,Grupo Armado No Identificado,Grupo Armado No Identificado,3,"Noche y Niebla # 11, Pp. 65",
8,2,1999, Antioquia,Antioquia,Corregimiento Tonusco Arriba-Vereda Churimbo,Guerrilla  ,Guerrilla-FARC,1,"Noche y Niebla # 11, Pp. 65",
9,2,1999,Cauca,Timbio,Vereda Las Yescas,Grupos Paramilitares,Grupos Paramilitares,1,"Noche y Niebla # 11, Pp. 66",
10,2,1999,Bolivar,Cartagena,Barrio Nelson Mandela,Grupo Armado No Identificado,Grupo Armado No Identificado,1,"Noche y Niebla # 11, Pp. 66",
10,2,1999,Magdalena ,Cienaga,Barrio El Porvenir-Sitio El Volcan,Grupo Armado No Identificado,Grupo Armado No Identificado,2,"Noche y Niebla # 11, Pp. 66",
10,2,1999,Tolima,Libano,Vereda La Honda,Guerrilla  ,Guerrilla-ELN,1,"Noche y Niebla # 11, Pp. 66",
